Time resolution is 1 ps
At time                    0, I3=0, I2=0, I1=0, I0=0 --> V=0, Y1=0, Y0=0
At time                50000, I3=0, I2=0, I1=0, I0=1 --> V=1, Y1=0, Y0=0
At time               100000, I3=0, I2=0, I1=1, I0=0 --> V=1, Y1=0, Y0=1
At time               150000, I3=0, I2=0, I1=1, I0=1 --> V=1, Y1=0, Y0=1
At time               200000, I3=0, I2=1, I1=0, I0=0 --> V=1, Y1=1, Y0=0
At time               250000, I3=0, I2=1, I1=0, I0=1 --> V=1, Y1=1, Y0=0
At time               300000, I3=0, I2=1, I1=1, I0=0 --> V=1, Y1=1, Y0=0
At time               350000, I3=0, I2=1, I1=1, I0=1 --> V=1, Y1=1, Y0=0
At time               400000, I3=1, I2=0, I1=0, I0=0 --> V=1, Y1=1, Y0=1
At time               450000, I3=1, I2=0, I1=0, I0=1 --> V=1, Y1=1, Y0=1
At time               500000, I3=1, I2=0, I1=1, I0=0 --> V=1, Y1=1, Y0=1
At time               550000, I3=1, I2=0, I1=1, I0=1 --> V=1, Y1=1, Y0=1
At time               600000, I3=1, I2=1, I1=0, I0=0 --> V=1, Y1=1, Y0=1
At time               650000, I3=1, I2=1, I1=0, I0=1 --> V=1, Y1=1, Y0=1
At time               700000, I3=1, I2=1, I1=1, I0=0 --> V=1, Y1=1, Y0=1
At time               750000, I3=1, I2=1, I1=1, I0=1 --> V=1, Y1=1, Y0=1
